# z      distance_modulus     err
    0.136790    39.032802     0.110750
    0.137120    39.395083     0.114150
    0.137960    39.148398     0.104750
    0.138060    39.124098     0.102450
    0.138160    39.149170     0.116900
    0.138230    39.089867     0.103800
    0.138470    39.141078     0.133350
    0.138550    39.175105     0.130800
    0.138800    39.090571     0.107200
    0.139470    39.074441     0.112900
    0.140550    39.096886     0.116350
    0.141350    38.979353     0.132250
    0.141670    39.218331     0.104700
    0.143430    39.077860     0.108150
    0.143930    39.192179     0.113000
    0.144060    39.103535     0.104850
    0.144620    39.109406     0.139650
    0.145190    39.189889     0.139900
    0.145390    38.950025     0.172400
    0.145660    39.410120     0.127550
    0.146480    39.015587     0.110950
    0.147110    39.407988     0.103350
    0.147230    39.274107     0.121800
    0.147610    39.287952     0.113650
    0.147740    39.359765     0.102300
    0.148640    39.409297     0.106300
    0.149490    39.641096     0.166750
    0.150620    39.306057     0.116050
    0.150690    39.333570     0.110000
    0.151710    39.340918     0.103250
    0.152530    39.473740     0.113550
    0.152690    39.512281     0.115850
    0.152860    39.342404     0.102450
    0.152980    39.176629     0.109600
    0.153330    39.498360     0.104650
    0.153520    39.476049     0.104950
    0.154740    39.254990     0.104500
    0.154900    39.249840     0.106300
    0.154990    39.318716     0.117950
    0.156250    39.605984     0.125950
    0.156700    39.712089     0.154850
    0.156800    39.716494     0.110400
    0.156800    39.513676     0.125450
    0.158190    39.674261     0.123750
    0.158810    39.744996     0.124500
    0.159330    39.544657     0.105400
    0.159480    39.684303     0.177500
    0.160180    39.477988     0.110450
    0.160310    39.333291     0.129000
    0.160400    39.371627     0.109550
    0.160460    39.552526     0.167000
    0.160530    39.414535     0.115600
    0.161390    39.431977     0.120150
    0.161630    39.365174     0.129900
    0.162670    39.550659     0.130300
    0.163820    39.718311     0.119150
    0.164480    39.592349     0.108300
    0.165030    39.692350     0.115850
    0.165140    39.567060     0.106650
    0.165760    39.548133     0.121550
    0.167990    39.713652     0.121900
    0.169400    39.497943     0.114400
    0.169410    39.658194     0.131700
    0.170080    39.670252     0.107000
    0.170430    39.773281     0.142550
    0.171440    39.476640     0.173150
    0.171570    39.693069     0.115850
    0.172810    39.661395     0.130800
    0.173310    39.863292     0.099250
    0.173540    39.489124     0.128300
    0.173590    39.710367     0.108300
    0.173650    39.920042     0.137300
    0.173710    39.633038     0.126650
    0.174200    39.733982     0.111500
