# Ell      ell*(ell+1)C_l/(2\pi)     err
   867    35.272753    14.821000
   868    28.094411    14.828000
   869    29.465956    14.834000
   870    42.105659    14.841000
   871    13.516870    14.848000
   872    29.842097    14.854000
   873    52.461725    14.861000
   874    44.666598    14.867000
   875    32.960505    14.873000
   876    16.397035    14.878000
   877    41.043686    14.884000
   878    53.913991    14.889000
   879    54.191452    14.894000
   880    28.617068    14.899000
   881    33.696412    14.903000
   882    33.454878    14.908000
   883    29.488849    14.911000
   884    50.141590    14.915000
   885    46.961835    14.918000
   886    59.370913    14.921000
   887    29.913659    14.923000
   888    70.667586    14.925000
   889    40.844824    14.927000
   890    40.979183    14.928000
   891    46.142798    14.929000
   892    18.973922    14.929000
   893    53.311679    14.929000
   894    69.252259    14.928000
   895    33.447949    14.927000
   896    52.067406    14.926000
   897    37.859147    14.924000
   898    59.546810    14.921000
   899    49.382897    14.918000
   900    47.651925    14.915000
   901    75.614435    14.911000
   902    72.096574    14.906000
   903    73.165311    14.901000
   904    49.247995    14.896000
   905    55.849997    14.890000
   906    37.302517    14.883000
   907    72.696186    14.876000
   908    49.016039    14.869000
   909    43.777990    14.861000
   910    39.800188    14.852000
   911    51.629960    14.843000
   912    81.967697    14.833000
   913    63.288948    14.823000
   914    46.240546    14.813000
   915    45.360670    14.802000
   916    35.609919    14.790000
   917    55.237624    14.778000
   918    24.278780    14.765000
   919    65.097878    14.752000
   920    52.440252    14.739000
   921    80.307188    14.725000
   922    46.158504    14.710000
   923    61.427855    14.695000
   924    56.000385    14.680000
   925    60.017321    14.664000
   926    21.963120    14.648000
   927    69.575200    14.632000
   928    65.453637    14.615000
   929    50.354486    14.598000
   930    49.005065    14.580000
   931    42.686140    14.562000
   932    51.510443    14.544000
   933    48.150361    14.525000
   934    61.319304    14.506000
   935    79.993071    14.487000
   936    23.115330    14.468000
   937    43.573590    14.448000
   938    29.047127    14.428000
   939    26.549026    14.408000
   940    41.304387    14.388000
   941    60.009195    14.367000
   942    53.715705    14.346000
   943    38.311665    14.326000
   944    52.018144    14.305000
   945    55.700963    14.283000
   946    35.227046    14.262000
   947    20.781969    14.241000
   948    37.017893    14.220000
   949    24.262270    14.198000
   950    40.648519    14.177000
   951    25.260164    14.155000
   952    27.888138    14.134000
   953    39.720270    14.113000
   954    50.587058    14.091000
   955    24.193967    14.070000
   956    32.290148    14.049000
   957    54.022046    14.028000
   958    52.531794    14.007000
   959    36.533951    13.986000
   960    29.057420    13.966000
   961    38.590669    13.946000
   962    38.345674    13.926000
   963    36.104280    13.906000
   964    34.708290    13.886000
   965    16.897351    13.867000
   966     0.017076    13.848000
   967    26.589424    13.829000
   968   -13.159217    13.811000
   969    19.196312    13.793000
   970    33.339730    13.775000
   971    30.945837    13.758000
   972    41.373112    13.741000
   973     5.935202    13.724000
   974    17.624276    13.708000
   975     5.773906    13.693000
   976     3.575146    13.678000
   977   -24.276664    13.663000
   978     8.181226    13.649000
   979    -3.384054    13.635000
   980     8.144536    13.622000
   981     3.374233    13.609000
   982    -2.315728    13.597000
   983    -0.502844    13.585000
   984   -11.686624    13.574000
   985     8.036293    13.564000
   986   -12.907076    13.554000
   987     9.364652    13.545000
   988    19.086736    13.536000
   989     3.317772    13.528000
   990   -25.963296    13.520000
   991    -5.308994    13.513000
   992    -1.833101    13.507000
   993   -17.208696    13.501000
   994   -34.014249    13.496000
   995    -5.746942    13.492000
   996   -26.956753    13.488000
   997   -29.903340    13.485000
   998   -17.948030    13.503000
   999   -10.247907    13.501000
  1000   -27.619121    15.322000
  1001   -16.365417    15.318000
  1002     1.788342    15.430000
  1003   -26.083680    15.426000
  1004   -28.179892    15.424000
  1005   -43.786765    15.422000
  1006   -28.788472    15.421000
  1007   -17.581454    15.420000
  1008   -19.286771    15.420000
  1009   -22.649541    15.421000
  1010   -54.959011    15.422000
  1011   -39.439519    15.424000
  1012   -66.855072    15.426000
  1013   -28.819001    15.429000
  1014    -8.364842    15.433000
  1015   -22.179953    15.437000
  1016   -63.190881    15.442000
  1017   -40.067818    15.447000
  1018   -21.127209    15.453000
  1019   -55.906556    15.460000
  1020   -44.863636    15.467000
  1021   -24.478453    15.474000
  1022   -21.065069    15.482000
  1023   -49.619286    15.490000
  1024   -36.456865    15.499000
  1025   -30.537265    15.509000
  1026   -57.947714    15.518000
  1027   -41.830679    15.529000
  1028   -77.576168    15.539000
  1029   -77.415094    15.551000
  1030   -33.175240    15.562000
  1031   -47.767476    15.574000
  1032   -74.164507    15.586000
  1033   -72.993257    15.599000
  1034   -66.163813    15.612000
  1035   -77.731297    15.625000
  1036   -53.262097    15.639000
  1037   -88.249139    15.653000
  1038   -77.733666    15.667000
  1039   -64.112956    15.682000
  1040   -66.138410    15.697000
  1041   -63.240582    15.712000
  1042   -48.583350    15.727000
  1043   -87.849539    15.742000
  1044   -79.336630    15.758000
  1045   -59.461222    15.774000
  1046   -79.173942    15.790000
  1047   -40.429644    15.806000
  1048   -80.835197    15.823000
  1049   -72.252665    15.839000
  1050   -64.391617    15.856000
