# Ell      ell*(ell+1)C_l/(2\pi)     err
   469  2225.481698   141.112000
   470  2178.941677   141.619995
   471  1991.156861   142.125000
   472  2018.076287   142.630005
   473  2301.608108   143.130997
   474  2110.550189   143.630005
   475  2037.425787   144.126007
   476  2169.476100   144.619003
   477  2237.373563   145.108002
   478  2012.696001   145.593002
   479  2134.312173   146.072998
   480  2423.843512   146.548996
   481  2113.809175   147.018997
   482  2092.642501   147.483994
   483  2214.451720   147.942993
   484  2221.030834   148.395996
   485  2167.900142   148.843002
   486  2257.367686   149.281998
   487  2247.267362   149.714996
   488  2389.882712   150.139999
   489  2168.636034   150.556000
   490  2276.737538   150.964996
   491  2308.581911   151.365997
   492  2637.369630   151.757996
   493  2146.474494   152.141006
   494  2193.210247   152.514999
   495  2458.486399   152.880005
   496  2258.474161   153.235001
   497  2010.356931   153.580994
   498  2188.132971   153.917007
   499  2281.877465   154.242996
   500  2380.537089   154.557999
   501  2278.239620   154.863007
   502  2191.289258   155.156998
   503  1966.062444   155.440002
   504  2355.692695   155.712006
   505  2033.173218   155.972000
   506  2530.565814   156.220993
   507  2396.404660   156.457001
   508  2344.049497   156.682999
   509  2419.315729   156.895996
   510  2191.503021   157.097000
   511  2244.195283   157.287003
   512  2427.473138   157.464005
   513  2303.004000   157.628006
   514  2533.673780   157.781006
   515  2362.041542   157.921005
   516  2296.701439   158.048004
   517  2492.921226   158.162994
   518  2334.204712   158.264999
   519  2515.274396   158.354004
   520  2543.747570   158.429993
   521  2455.385415   158.492996
   522  2329.021376   158.544006
   523  2541.254647   158.580994
   524  2706.314722   158.604996
   525  2401.756017   158.615997
   526  2444.915558   158.604996
   527  2357.282438   158.589996
   528  2672.775605   158.561996
   529  2464.960829   158.520996
   530  2207.172875   158.466995
   531  2597.801975   158.399002
   532  2609.353827   158.319000
   533  2592.675253   158.225998
   534  2790.019685   158.119995
   535  2501.853104   158.001007
   536  2193.475792   157.869003
   537  2367.568642   157.725006
   538  2709.941552   157.567993
   539  2496.660540   157.397995
   540  2297.380170   157.205002
   541  2382.981293   157.009003
   542  2576.521071   156.802002
   543  2227.085913   156.582001
   544  2489.780353   156.350006
   545  2522.398648   156.106003
   546  2628.193579   155.850006
   547  2654.119300   155.582993
   548  2260.023695   155.302994
   549  2325.915400   155.013000
   550  2212.298084   154.712006
   551  2604.786207   154.399002
   552  2272.337278   154.074997
   553  2287.639882   153.740997
   554  2500.444188   153.395996
   555  2635.067264   153.041000
   556  2520.642107   152.675003
   557  2564.162166   152.298996
   558  2598.491147   151.914001
   559  2604.249306   151.518005
   560  2196.255395   151.113007
   561  2411.650572   150.699005
   562  2432.946191   150.276001
   563  2537.716409   149.843002
   564  2415.908288   149.401993
   565  2436.992678   148.951996
   566  2494.989958   148.494003
   567  2458.083264   148.028000
   568  2521.923799   147.552994
   569  2514.219215   147.070999
   570  2236.361408   146.597000
   571  2204.693270   146.100006
   572  2407.049598   145.595993
   573  2513.103592   145.085007
   574  2527.995014   144.567993
   575  2230.616542   144.044006
   576  2621.010824   143.514008
   577  2297.343749   142.977997
   578  2342.122695   142.436005
   579  2195.128670   141.889008
   580  2137.473136   141.335999
   581  2211.616501   140.778000
   582  2255.273346   140.216003
   583  2414.126429   139.667007
   584  2414.382434   139.097000
   585  2119.842103   138.522003
   586  2146.145812   137.945007
   587  2284.116307   137.363998
   588  1960.253011   136.779999
   589  2181.832694   136.192993
   590  2400.344810   135.602997
   591  2540.153417   135.011993
   592  2287.603357   134.417999
   593  2009.441828   133.822006
   594  2294.159257   133.225006
   595  2465.298322   132.626999
   596  2131.565265   132.028000
   597  1972.822080   131.427994
   598  2015.775093   130.826996
   599  2189.300339   130.225998
   600  2000.777342   129.625000
   601  1880.059916   129.024994
   602  2190.242277   128.425003
   603  2244.515508   127.825996
   604  2026.875050   127.227997
   605  2220.305358   126.632004
   606  1900.630771   126.037003
   607  1904.366854   125.443001
   608  1991.374981   124.851997
   609  1988.222459   124.264000
   610  2117.408283   123.678001
   611  2195.327463   123.094002
   612  2125.015787   122.514000
   613  1996.549865   121.936996
   614  1996.904221   121.363998
   615  2032.796758   120.793999
   616  1914.327744   120.227997
   617  2143.853156   119.667000
   618  1826.422423   119.110001
   619  1973.064306   118.556999
   620  1962.888117   118.010002
   621  1955.544801   117.467003
   622  1901.371338   116.930000
   623  2119.074515   116.398003
   624  1749.527422   115.873001
   625  2043.344746   115.352997
   626  2002.952994   114.838997
   627  1951.088014   114.332001
   628  1806.478067   113.831001
   629  2015.393425   113.336998
   630  1936.020177   112.849998
   631  1737.266014   112.370003
   632  1957.553515   111.897003
   633  2107.239270   111.431000
   634  1807.953264   110.973000
   635  1904.297682   110.523003
   636  1943.290141   110.080002
   637  2009.939195   109.646004
   638  1758.785246   109.219002
   639  1832.118233   108.802002
   640  1942.022144   108.391998
   641  1619.208685   107.990997
   642  1875.111387   107.599998
   643  1722.586217   107.217003
   644  1803.989148   106.843002
   645  1761.787635   106.477997
   646  1917.423523   106.123001
   647  1874.067030   105.776001
   648  1820.859882   105.440002
   649  1628.489460   105.112000
   650  2015.101380   104.793999
   651  1767.677966   104.486000
   652  1756.107055   104.186996
   653  1930.200258   103.899002
   654  1716.753842   103.620003
   655  1826.670585   103.350998
   656  1771.563875   103.093002
   657  1857.866794   102.844002
   658  1509.210247   102.606003
   659  1644.806160   102.376999
   660  1761.165616   102.160004
   661  1705.553555   101.952003
   662  1810.956943   101.754997
   663  1901.442395   101.568001
   664  1556.615453   101.391998
   665  1711.847131   101.225998
   666  1888.698899   101.070000
   667  1652.530542   100.925003
   668  1596.573915   100.790001
   669  1632.314853   100.665001
   670  1741.804229   100.551003
   671  1832.292515   100.446999
   672  1714.483229   100.353996
   673  1680.158418   100.271004
   674  1684.846228   100.197998
   675  1819.641700   100.136002
   676  1664.764007   100.084000
   677  1677.867845   100.042999
   678  1567.056958   100.012001
   679  1793.406783    99.989998
   680  1669.654398    99.978996
   681  1687.764671    99.977997
   682  1663.653042    99.987000
   683  1740.601205   100.005997
   684  1562.872681   100.033997
   685  1716.625540   100.071999
   686  1743.671000   100.119003
   687  1850.833663   100.175003
   688  1644.823252   100.240997
   689  1860.806401   100.317001
   690  1791.179924   100.401001
   691  1701.169340   100.494003
   692  1849.574946   100.596001
   693  1861.123389   100.707001
   694  1666.356183   100.827003
   695  1803.622944   100.955002
   696  1797.877998   101.091003
   697  1961.631758   101.236000
   698  1532.730864   101.389000
   699  1800.157955   101.550003
   700  1981.866939   101.719002
   701  1677.207972   101.896004
   702  1822.671663   102.080002
   703  1648.986584   102.271004
   704  1745.940239   102.470001
   705  1987.448266   102.676003
   706  1855.584139   102.889000
   707  1808.851939   103.109001
   708  1640.330750   103.335999
   709  1817.564799   103.569000
   710  1794.669104   103.808998
   711  1712.757260   104.055000
   712  1792.783088   104.307999
   713  1914.026893   104.566002
   714  1958.688126   104.830002
   715  1916.050692   105.098999
   716  1867.037352   105.373001
   717  1961.707042   105.653000
   718  1788.778886   105.936996
   719  1857.057414   106.225998
   720  1918.998478   106.519997
   721  1887.006703   106.817001
   722  2028.493580   107.119003
   723  2024.521291   107.425003
   724  1973.567959   107.734001
   725  1960.414452   108.045998
   726  2000.072583   108.362000
   727  1956.591269   108.681000
   728  2198.612892   109.001999
   729  1911.969409   109.325996
   730  2141.916910   109.653000
   731  1956.168056   109.982002
   732  2015.762447   110.313004
   733  1909.542339   110.644997
   734  1865.926808   110.980003
   735  1989.056413   111.316002
   736  1867.938337   111.653000
   737  2125.895385   111.990997
   738  1957.828760   112.330002
   739  2072.927742   112.669998
   740  2155.898882   113.010002
   741  1923.573722   113.350998
   742  2134.117812   113.692001
   743  2071.894071   114.031998
   744  2051.519594   114.373001
   745  1968.065508   114.712997
   746  2444.545126   115.052002
   747  2108.470229   115.389999
   748  2119.899232   115.727997
   749  2137.235090   116.064003
   750  1930.908503   116.398003
   751  2109.513362   116.731003
   752  2279.806065   117.061996
   753  1973.139932   117.390999
   754  2355.718905   117.718002
   755  2017.041739   118.042999
   756  2181.880469   118.363998
   757  2152.914896   118.682999
   758  2000.212790   118.999001
   759  2257.753265   119.310997
   760  2023.382867   119.620003
   761  2143.558333   119.925003
   762  2177.744120   120.226997
   763  2305.506714   120.524002
   764  2280.528798   120.818001
   765  2435.180366   121.107002
   766  2183.327498   121.390999
   767  2192.976227   121.671997
   768  2207.231614   121.947998
   769  2526.954427   122.218002
   770  2261.444404   122.484001
   771  2278.749311   122.744003
   772  2127.949441   122.999001
   773  2295.184360   123.248001
   774  2161.770808   123.490997
   775  2249.791463   123.728996
   776  2387.179043   123.959999
   777  2361.186299   124.184998
   778  2301.132949   124.403999
   779  2279.894448   124.616997
   780  2115.902916   124.821999
   781  2382.744476   125.021004
   782  2204.571783   125.212997
   783  2430.226719   125.399002
   784  2384.784919   125.577003
   785  2310.234955   125.748001
   786  2006.155032   125.912003
   787  2392.048608   126.068001
   788  2273.113204   126.217003
   789  2568.836829   126.358002
   790  2414.444664   126.496002
   791  2275.843818   126.628998
   792  2533.425236   126.753998
   793  2539.596527   126.871002
   794  2448.871189   126.980003
   795  2482.166546   127.080002
   796  2379.995340   127.171997
   797  2498.306836   127.254997
   798  2480.604420   127.330002
   799  2452.540235   127.396004
   800  2238.584337   127.453003
   801  2531.764218   127.501999
   802  2524.185100   127.542000
   803  2401.013771   127.572998
   804  2238.358936   127.595001
   805  2330.944144   127.608002
   806  2497.322386   127.612999
   807  2931.194740   127.608002
   808  2349.618344   127.594002
   809  2316.283416   127.570999
   810  2536.015184   127.539001
   811  2408.950822   127.498001
   812  2326.534536   127.446999
   813  2376.045897   127.387001
   814  2344.272718   127.318001
   815  2359.571424   127.238998
   816  2376.990220   127.152000
   817  2397.265403   127.055000
   818  2746.501039   126.948997
   819  2441.909302   126.834000
   820  2360.819241   126.709000
   821  2246.853471   126.575996
   822  2543.154853   126.432999
   823  2250.226473   126.280998
   824  2367.651208   126.120003
   825  2406.427173   125.949997
   826  2242.890685   125.771004
   827  2402.479468   125.583000
   828  2533.814685   125.386002
   829  2363.496182   125.180000
   830  2258.429585   124.966003
   831  2399.421681   124.742996
   832  2337.173289   124.511002
   833  2342.722419   124.268997
   834  2201.944573   124.019997
   835  2411.487018   123.761002
   836  2233.014018   123.494003
   837  2451.962355   123.218002
   838  2162.796256   122.932999
   839  2463.218461   122.639999
   840  2241.139380   122.338997
   841  2135.313125   122.028999
   842  2324.999918   121.710999
   843  2406.801590   121.384003
   844  2236.765870   121.049004
   845  2487.602483   120.705002
   846  2107.557081   120.353996
   847  2380.229838   119.994003
   848  2162.072488   119.625999
   849  2274.638138   119.250999
   850  2319.692382   118.867996
   851  2310.799773   118.477997
   852  2218.592316   118.080002
   853  2159.026823   117.675003
   854  2108.473590   117.262001
   855  2189.936614   116.843002
   856  2225.024504   116.417000
   857  2231.354055   115.984001
   858  2203.964634   115.543999
   859  2243.244879   115.098000
   860  2254.667950   114.646004
   861  2289.298081   114.186996
   862  2229.827712   113.722000
   863  2005.309554   113.250999
   864  2359.141195   112.774002
   865  2086.985787   112.292000
   866  2443.775752   111.803001
   867  2046.631354   111.309998
   868  2182.880426   110.814003
   869  2270.456847   110.316002
   870  2146.722922   109.813004
   871  2073.712524   109.305000
   872  2016.629740   108.792000
   873  2161.904168   108.275002
   874  2296.563695   107.752998
   875  2125.005127   107.225998
   876  2203.040901   106.695999
   877  2031.398968   106.163002
   878  2108.705215   105.626999
   879  2114.125362   105.087997
   880  2086.792198   104.543999
   881  1977.836342   103.998001
   882  1759.078741   103.447998
   883  1732.958383   102.894997
   884  1759.607475   102.338997
   885  1940.104412   101.779999
   886  2063.864553   101.218002
   887  1868.978452   100.653999
   888  2025.238366   100.087997
   889  1965.270634    99.518997
   890  1921.969742    98.947998
   891  1887.733765    98.375999
   892  2016.676981    97.801003
   893  1931.738350    97.225998
   894  1897.876978    96.648003
   895  1731.777212    96.069000
   896  1706.669996    95.489998
   897  2046.185309    94.908997
   898  1880.543598    94.327003
   899  1839.291941    93.745003
   900  1680.965549    93.162003
   901  1762.624021    92.579002
   902  1696.411584    91.995003
   903  1887.700223    91.412003
   904  1880.661555    90.828003
   905  1715.898480    90.245003
   906  1733.015774    89.662003
   907  1693.172101    89.079002
   908  1671.954647    88.497002
   909  1748.728655    87.916000
   910  1775.345310    87.335999
   911  1680.753646    86.757004
   912  1629.883681    86.180000
   913  1590.497681    85.602997
   914  1591.856811    85.028999
   915  1597.269965    84.455002
   916  1677.030151    83.884003
   917  1672.553591    83.315002
   918  1572.814573    82.748001
   919  1586.512325    82.182999
   920  1589.049715    81.620003
   921  1645.324015    81.059998
   922  1508.891965    80.502998
   923  1547.644904    79.947998
   924  1581.841977    79.396004
