# z      luminosity_distance
    0.310790  1887.747021
    0.311560  1823.127320
    0.312620  1780.817054
    0.313530  1577.117491
    0.314370  1772.185619
    0.314680  1909.904972
    0.314800  1544.625357
    0.315550  1597.758405
    0.315790  1736.328996
    0.317740  1837.875534
    0.318110  1703.627037
    0.318410  1471.935340
    0.318940  1613.703188
    0.318940  1597.217737
    0.320070  1709.657739
    0.320920  1624.594320
    0.320950  1685.289198
    0.322180  1626.497224
    0.324540  1723.499470
    0.325290  1862.366829
    0.325310  1694.765795
    0.325530  1677.494768
    0.326010  1738.755674
    0.327530  1877.724693
    0.328320  1574.626420
    0.328400  1561.900426
    0.328410  1564.069293
    0.328910  2179.334321
    0.329440  1996.287154
    0.329440  1732.768502
    0.330150  1905.490770
    0.330590  1909.372476
    0.330600  1651.421335
    0.330700  1680.924941
    0.330810  1711.732944
    0.330940  1892.710334
    0.330960  1739.039238
    0.331590  1800.308723
    0.331590  1877.401971
    0.331800  1927.049273
    0.332930  1717.125791
    0.333980  2270.294866
    0.334930  1738.348325
    0.337420  1824.373513
    0.337480  1997.201158
    0.337530  1813.945258
    0.338290  1796.506949
    0.338480  1926.055807
    0.338500  1884.277277
    0.340520  1914.206592
    0.340920  1868.616423
    0.341600  1911.813317
    0.345460  1802.739653
    0.345930  1856.084206
    0.346880  1851.830839
    0.347010  1773.548196
    0.348720  1964.663102
    0.349020  1824.216368
    0.349230  1838.164028
    0.349310  1842.354217
    0.349570  1904.736864
    0.349570  2087.338447
    0.350700  1998.905301
    0.350920  1926.224848
    0.351570  1887.986724
    0.351610  1917.567885
    0.353060  1970.901363
    0.353630  2095.145095
    0.355270  1859.591717
    0.355820  2122.365686
    0.358330  2013.411657
    0.358580  2062.762438
    0.359020  1972.829199
    0.360010  1846.960900
    0.360200  1919.812719
    0.360820  2031.799623
    0.361350  1994.154606
    0.361650  1980.365102
    0.364910  2104.696305
    0.366160  2437.058765
    0.366460  2094.272506
    0.367830  1865.084168
    0.367910  2136.429597
    0.369240  1970.673068
    0.369390  1983.137680
    0.370030  2079.246679
    0.370130  1980.384710
    0.370500  1961.320246
    0.370510  1932.821013
    0.370530  2069.242622
    0.370600  1971.045792
    0.370890  2068.546585
    0.371440  1925.945651
    0.371500  2071.767094
    0.371640  2105.430722
    0.373500  2245.935623
    0.373860  1994.999637
    0.378600  2338.385173
    0.379490  2079.346486
    0.379900  2087.927038
    0.380030  2320.680269
    0.380540  2141.266634
    0.380830  1975.168206
    0.381640  2067.148997
    0.381710  2128.441336
    0.382460  2191.615691
    0.384470  2379.396234
    0.385980  2023.857437
    0.387340  2292.768725
    0.387750  1915.078424
    0.388870  2105.797773
    0.392670  2089.557508
    0.400480  2243.724333
    0.400780  2226.200626
    0.400800  2266.068361
    0.402140  2361.691013
    0.404550  2169.245650
    0.404710  2449.954264
    0.405470  2328.237587
    0.409270  2254.290509
    0.409460  2413.423200
    0.409960  2346.465358
    0.411310  2627.325490
    0.411550  2160.888545
    0.416640  2342.458946
    0.418650  2269.133212
    0.419290  2668.411473
    0.419300  2503.826104
    0.419570  2283.043884
    0.420280  2610.637845
    0.420860  2277.606236
    0.422440  2400.826783
    0.423530  2179.572630
    0.423590  2566.990754
    0.426930  2252.143843
    0.426960  2501.039890
    0.427840  2798.664578
    0.428660  2523.088245
    0.428860  2243.109632
    0.429670  2308.308759
    0.430150  2350.060407
    0.434870  2474.571156
    0.435440  2453.712547
    0.436730  2575.811563
    0.438850  2365.009426
    0.439270  2678.242512
    0.440070  2629.465658
    0.440580  2594.628392
    0.442550  2318.069961
    0.443680  2594.645763
    0.447580  2546.043552
    0.449560  2653.264545
    0.450590  2477.503055
    0.450700  2375.376921
    0.451550  2773.054156
    0.451690  2546.837246
    0.451730  2401.560131
    0.460400  2896.995825
    0.461010  2590.337164
    0.461270  2753.439911
    0.461560  2559.879855
    0.466400  3001.805599
    0.466640  2552.767324
    0.468400  2804.764955
    0.470390  2518.381499
    0.470570  2754.828953
    0.470580  2455.864186
    0.471750  2362.465256
    0.475720  2723.738834
    0.477960  2970.128003
    0.479420  2714.316773
    0.480400  2696.927221
    0.480570  2721.501394
    0.480720  3040.697280
    0.481760  3127.716498
    0.488810  3064.884816
    0.494800  2677.751628
    0.497370  2924.416981
    0.500740  2954.166444
    0.500910  2508.852718
    0.502750  3334.471231
    0.502760  2831.435358
    0.503090  2919.872061
    0.507180  2875.391269
    0.507360  2797.777767
    0.508180  3353.443953
    0.510020  2951.844652
    0.510900  2936.523593
    0.511760  2877.599203
    0.513800  2976.390481
    0.514340  3109.026044
    0.514760  3459.917028
    0.515590  3357.407065
    0.518790  2980.596401
    0.519410  3238.316464
    0.519610  2965.671445
    0.522780  3046.392025
    0.528510  2939.188527
    0.532780  3178.037359
    0.533780  2938.661088
    0.534330  3020.149848
    0.535320  3113.146198
    0.535780  3042.978338
    0.545390  3256.300627
    0.548310  2872.445341
    0.550140  3534.854310
    0.550310  3083.578035
    0.552600  3623.750831
    0.553810  3805.084671
    0.557750  3167.772532
    0.558750  3507.265293
    0.558750  3798.174945
    0.562760  3586.969167
    0.564750  3339.333657
    0.575840  3251.429685
    0.576130  3813.255650
    0.576610  3517.666645
    0.578240  4114.462415
    0.578280  3420.311518
    0.578750  3216.476450
    0.579600  3645.755544
    0.580600  3391.177760
    0.580730  3477.599042
    0.582940  3521.957893
    0.583280  3678.617603
    0.583750  3449.345446
    0.583750  3671.282406
    0.585750  3491.701081
    0.587280  3497.995020
    0.588730  3379.945107
    0.590270  3415.189485
    0.591850  3410.446534
    0.600600  3362.068243
    0.603260  3889.106659
    0.608250  3415.637242
    0.609870  3533.524699
    0.610640  3874.392743
    0.611240  3717.654263
    0.615700  3515.768450
    0.619920  3834.850902
    0.620630  3406.552914
    0.621890  3859.113248
    0.625220  4088.324635
    0.627230  4098.916665
    0.630560  4011.175444
    0.630710  4003.397149
    0.631900  3516.645185
    0.632220  3634.299290
    0.637710  3719.361429
    0.638220  3913.929517
    0.641910  3804.449906
    0.643640  4471.179062
    0.643640  4093.475862
    0.647640  4467.430490
    0.648640  4119.287388
    0.662060  4714.301458
    0.664640  4671.869907
    0.670650  4375.240102
    0.677670  5007.516796
    0.681960  3645.221742
    0.683660  3323.209216
    0.685170  4604.209007
    0.688660  4646.266508
    0.690650  4318.038259
    0.693150  4298.860112
    0.697150  4803.001286
    0.698160  3998.241069
    0.699150  4397.046142
    0.699160  4321.668307
    0.699980  4438.408104
    0.700640  4576.996192
    0.701150  4000.307240
    0.701980  4399.916507
    0.701980  4050.809408
    0.715650  3941.378969
    0.718680  4325.211506
    0.719630  5681.154197
    0.720130  4078.589310
    0.720680  4418.236569
    0.726680  4789.291065
    0.727670  4543.450719
    0.730120  4478.018126
    0.733620  4565.462344
    0.734010  3968.994343
    0.735000  4736.036642
    0.735010  4419.913099
