# Ell      ell*(ell+1)C_l/(2\pi)     err
   401    23.011408     2.295000
   402    16.897066     2.295000
   403    18.505572     2.295000
   404    20.289839     2.295000
   405    15.716074     2.294000
   406    22.095084     2.293000
   407    18.445222     2.292000
   408    17.762291     2.291000
   409    18.301006     2.289000
   410    21.072094     2.288000
   411    17.726197     2.286000
   412    22.134154     2.283000
   413    18.916940     2.281000
   414    20.192575     2.278000
   415    18.267464     2.275000
   416    18.098903     2.272000
   417    21.828357     2.269000
   418    17.736187     2.266000
   419    16.454430     2.262000
   420    14.903675     2.258000
   421    19.999081     2.254000
   422    20.179427     2.250000
   423    18.458317     2.246000
   424    21.249572     2.241000
   425    17.654511     2.236000
   426    22.181741     2.231000
   427    19.185037     2.226000
   428    21.936735     2.221000
   429    18.310870     2.216000
   430    15.106275     2.210000
   431    18.704875     2.205000
   432    20.156152     2.199000
   433    20.368040     2.193000
   434    14.279466     2.187000
   435    18.662031     2.181000
   436    18.113390     2.175000
   437    16.731156     2.168000
   438    18.083747     2.162000
   439    15.593127     2.155000
   440    19.304804     2.149000
   441    17.591155     2.142000
   442    16.834658     2.135000
   443    18.165749     2.129000
   444    15.052021     2.122000
   445    15.167830     2.115000
   446    18.302579     2.108000
   447    17.079974     2.101000
   448    17.486234     2.094000
   449    16.813300     2.086000
   450    15.460939     2.079000
   451    17.409221     2.072000
   452    18.044312     2.065000
   453    12.628916     2.058000
   454    12.484394     2.051000
   455    13.485662     2.044000
   456    15.578151     2.036000
   457    17.858753     2.029000
   458    13.495857     2.022000
   459    12.085107     2.015000
   460    12.239480     2.008000
   461    14.997010     2.001000
   462    13.289309     1.994000
   463    13.947258     1.987000
   464    17.369562     1.981000
   465    12.536526     1.974000
   466    15.940992     1.967000
   467    13.429459     1.961000
   468    13.554830     1.954000
   469    10.136998     1.948000
   470     9.722836     1.942000
   471    10.739449     1.936000
   472    10.528552     1.930000
   473    13.342429     1.924000
   474    11.068814     1.918000
   475    14.579038     1.912000
   476    13.144638     1.907000
   477    13.341325     1.901000
   478     6.933303     1.896000
   479    14.297363     1.891000
   480    11.053645     1.886000
   481    11.777481     1.881000
   482     8.294195     1.877000
   483     7.112331     1.872000
   484     6.346634     1.868000
   485    12.677938     1.864000
   486    10.461018     1.860000
   487    10.295905     1.856000
   488     8.758378     1.853000
   489     9.556707     1.850000
   490    11.530625     1.847000
   491     8.256588     1.844000
   492     7.799675     1.841000
   493     9.097263     1.838000
   494     6.625655     1.836000
   495     7.036579     1.834000
   496     6.156833     1.832000
   497     8.413453     1.831000
   498    10.498387     1.829000
   499     8.301316     1.828000
   500     6.440472     1.827000
   501     8.299506     1.827000
   502     7.283421     1.826000
   503     7.939208     1.824000
   504     5.820236     1.824000
   505     7.388799     1.550000
   506     6.421024     1.548000
   507     7.423902     1.545000
   508     7.603386     1.544000
   509     7.502484     1.543000
   510     7.928558     1.543000
   511     7.938206     1.543000
   512     7.490128     1.544000
   513     6.528506     1.544000
   514     8.555742     1.545000
   515     6.454751     1.546000
   516     5.419895     1.548000
   517     5.359828     1.549000
   518     3.384515     1.551000
   519     6.826178     1.554000
   520    10.367803     1.556000
   521     4.578882     1.559000
   522     4.421199     1.562000
   523     9.303345     1.566000
   524     6.701095     1.569000
   525     4.438645     1.573000
   526     6.274948     1.578000
   527     7.519637     1.582000
   528     5.636747     1.587000
   529     7.148703     1.592000
   530     3.606604     1.598000
   531     7.606068     1.604000
   532     8.058519     1.610000
   533     8.468123     1.616000
   534     7.778907     1.623000
   535     7.094307     1.630000
   536     5.702349     1.637000
   537     6.987980     1.645000
   538     5.055178     1.652000
   539     5.830281     1.661000
   540     5.461596     1.669000
   541     9.471789     1.678000
   542     8.786013     1.687000
   543     6.266941     1.696000
   544     5.366255     1.706000
   545     7.422717     1.716000
   546     9.421068     1.726000
   547     7.625837     1.737000
   548     5.482027     1.747000
   549     5.202207     1.758000
   550     7.859224     1.770000
   551     9.285577     1.782000
   552     9.412012     1.794000
   553    11.853330     1.806000
   554     8.915039     1.818000
   555     9.756992     1.831000
   556     6.563597     1.844000
   557    11.020126     1.858000
   558     7.821423     1.871000
   559     8.127444     1.885000
   560     7.795348     1.899000
   561    11.365899     1.914000
   562    10.428757     1.928000
   563     9.599765     1.943000
   564     9.776473     1.959000
   565    13.487192     1.974000
   566    13.926646     1.990000
   567    11.018491     2.006000
   568     8.500440     2.022000
   569    11.472609     2.039000
   570    10.605464     2.055000
   571    13.515463     2.072000
   572    15.435238     2.089000
   573    14.773775     2.107000
   574     7.682244     2.124000
   575     8.979360     2.142000
   576    10.050903     2.160000
   577    15.031851     2.179000
   578    12.582416     2.197000
   579    10.850324     2.216000
   580    14.815193     2.235000
   581    13.972067     2.254000
   582    16.133109     2.273000
   583    17.083819     2.292000
   584    14.698945     2.312000
   585    15.615174     2.332000
   586    14.384826     2.352000
   587    15.857881     2.372000
   588    14.756413     2.392000
   589    16.697845     2.412000
   590    18.317976     2.433000
   591    19.705238     2.454000
   592    16.662519     2.474000
   593    16.736013     2.495000
   594    15.535375     2.516000
   595    12.920920     2.537000
   596    19.472211     2.559000
   597    18.008320     2.580000
   598    23.218235     2.601000
   599    18.918654     2.623000
   600    15.663287     2.644000
   601    22.262159     2.666000
   602    23.342376     2.688000
   603    25.000849     2.709000
   604    16.704920     2.731000
   605    19.334807     2.753000
   606    14.678291     2.775000
   607    19.314759     2.797000
   608    23.562868     2.819000
   609    17.702449     2.841000
   610    19.727949     2.863000
   611    18.992100     2.885000
   612    20.227422     2.906000
   613    20.361763     2.928000
   614    26.682264     2.950000
   615    21.285044     2.972000
   616    26.409735     2.994000
   617    23.904497     3.016000
   618    28.562850     3.038000
   619    24.022853     3.059000
   620    23.839775     3.081000
   621    30.945961     3.102000
   622    20.950531     3.124000
   623    26.078666     3.145000
   624    24.993251     3.167000
   625    25.341937     3.188000
   626    25.440511     3.209000
   627    25.110145     3.230000
   628    30.851042     3.251000
   629    25.177091     3.272000
   630    23.907433     3.292000
   631    27.601091     3.313000
   632    27.916645     3.333000
   633    34.026453     3.353000
   634    25.143873     3.374000
   635    27.456972     3.393000
   636    29.307707     3.413000
   637    29.587921     3.433000
   638    24.851627     3.452000
   639    35.557844     3.471000
   640    28.777908     3.490000
   641    34.374257     3.509000
   642    31.426884     3.528000
   643    36.564662     3.546000
   644    32.657929     3.565000
   645    33.862015     3.583000
   646    27.809127     3.600000
   647    29.460953     3.618000
   648    21.813345     3.635000
   649    27.285219     3.652000
   650    27.509642     3.669000
   651    33.892289     3.686000
   652    29.094978     3.702000
   653    32.679135     3.719000
   654    27.946802     3.734000
   655    35.698519     3.750000
   656    30.751729     3.765000
   657    27.408894     3.781000
   658    30.994434     3.795000
   659    37.048074     3.810000
   660    33.177062     3.824000
   661    37.952420     3.838000
   662    36.472349     3.852000
   663    32.742302     3.865000
   664    26.933923     3.878000
   665    32.468023     3.891000
   666    37.618523     3.904000
   667    36.936380     3.916000
   668    34.102725     3.928000
   669    32.809111     3.940000
   670    30.532447     3.951000
   671    34.776971     3.962000
   672    40.083076     3.973000
   673    40.940192     3.984000
   674    27.838888     3.994000
   675    30.583653     4.004000
   676    35.138014     4.013000
   677    36.004072     4.022000
   678    43.563622     4.031000
   679    31.814785     4.040000
   680    38.407628     4.048000
   681    35.149462     4.056000
   682    32.236068     4.064000
   683    43.745934     4.071000
   684    37.209041     4.079000
   685    34.849448     4.085000
   686    29.201661     4.092000
   687    32.647794     4.098000
   688    37.742824     4.104000
   689    31.910053     4.109000
   690    35.366111     4.115000
   691    37.711570     4.120000
   692    34.929038     4.124000
   693    37.602351     4.129000
   694    33.049612     4.133000
   695    38.556962     4.137000
   696    38.003649     4.140000
   697    30.893506     4.143000
   698    36.099449     4.146000
   699    34.996411     4.149000
   700    31.796794     4.151000
   701    32.568820     4.153000
   702    29.272739     4.155000
   703    43.549635     4.157000
   704    38.138321     4.158000
   705    36.934079     4.159000
   706    38.528255     4.160000
   707    36.183224     4.161000
   708    33.379522     4.161000
   709    30.372101     4.161000
   710    32.459345     4.161000
   711    36.866270     4.160000
   712    33.930812     4.160000
   713    37.887390     4.159000
   714    37.174208     4.158000
   715    38.615359     4.156000
   716    31.436374     4.155000
   717    30.031909     4.153000
   718    33.607158     4.151000
   719    30.276553     4.149000
   720    27.289304     4.147000
   721    33.965435     4.144000
   722    30.695267     4.142000
   723    35.005706     4.139000
   724    28.735175     4.136000
   725    29.756174     4.132000
   726    32.566656     4.129000
   727    32.677441     4.126000
   728    30.588708     4.122000
   729    24.658324     4.118000
   730    36.183893     4.114000
   731    30.220116     4.110000
   732    24.859541     4.106000
   733    31.047628     4.102000
   734    26.738578     4.097000
   735    30.481379     4.093000
   736    22.379505     4.088000
   737    37.187250     4.084000
   738    29.413976     4.079000
   739    27.808246     4.074000
   740    24.133511     4.069000
   741    33.237101     4.064000
   742    27.784578     4.059000
   743    26.323132     4.054000
   744    33.700448     4.049000
   745    26.410501     4.044000
   746    29.313542     4.039000
   747    26.902797     4.034000
   748    24.501484     4.028000
   749    26.797178     4.023000
   750    28.961404     4.018000
   751    19.608811     4.013000
   752    20.409232     4.008000
   753    20.614956     4.002000
   754    21.582426     3.997000
   755    30.968657     3.992000
   756    23.997854     3.987000
   757    24.115925     3.982000
   758    25.175173     3.977000
   759    29.110710     3.972000
   760    19.809169     3.967000
   761    28.877130     3.962000
   762    23.668624     3.957000
   763    29.898682     3.953000
   764    23.974313     3.948000
   765    26.415015     3.944000
   766    21.386849     3.939000
   767    24.038458     3.935000
   768    20.083759     3.931000
   769    20.149187     3.927000
   770    28.677387     3.923000
   771    25.047455     3.919000
   772    25.751560     3.915000
   773    23.876105     3.912000
   774    20.181515     3.908000
   775    24.019091     3.905000
   776    10.985720     3.902000
   777    14.369609     3.899000
   778    17.006203     3.896000
   779    15.534888     3.894000
   780    19.620722     3.891000
   781    14.076969     3.889000
   782    18.534485     3.887000
   783    12.039608     3.885000
   784    17.975397     3.883000
   785    13.165725     3.882000
   786    21.359042     3.881000
   787    15.335154     3.879000
   788    10.620158     3.879000
   789    20.896920     3.878000
   790    17.035538     3.877000
   791    13.314689     3.877000
   792    14.325895     3.877000
   793     8.279276     3.877000
   794    15.012284     3.878000
   795    17.151485     3.878000
   796    14.146420     3.879000
   797    23.426980     3.881000
   798    16.157371     3.882000
   799     6.435155     3.884000
   800    17.501347     3.886000
   801    11.553060     3.888000
   802    13.862390     3.890000
   803    13.886246     3.893000
   804    23.618706     3.896000
   805    13.680494     3.899000
   806    17.710835     3.902000
   807    21.977694     3.906000
   808    10.322365     3.910000
   809    16.887640     3.914000
   810    19.206470     3.919000
   811    10.881739     3.924000
   812    12.418478     3.929000
   813    12.620658     3.934000
   814    10.791165     3.940000
   815    13.402459     3.946000
   816    11.796912     3.952000
   817    15.123305     3.959000
   818    13.271671     3.966000
   819    21.362079     3.973000
   820     3.055802     3.980000
   821    14.498969     3.988000
   822    11.107496     3.996000
   823    12.307241     4.004000
   824     6.379951     4.013000
   825    14.930220     4.021000
   826    17.337606     4.031000
   827    14.203130     4.040000
   828    19.986675     4.050000
   829    11.574721     4.060000
   830    15.544512     4.070000
   831     8.535298     4.081000
   832     9.305800     4.092000
   833    14.557234     4.103000
   834     6.900789     4.115000
   835     2.466206     4.126000
   836     8.390958     4.138000
   837    12.484808     4.151000
   838    18.718979     4.164000
   839    14.823794     4.177000
   840    14.171367     4.190000
   841    12.247053     4.203000
   842    17.556876     4.217000
   843    20.608537     4.232000
   844    13.963217     4.246000
   845     5.981306     4.261000
   846    21.504348     4.276000
   847    11.594594     4.291000
   848    15.028531     4.307000
   849    15.785004     4.323000
   850    13.347825     4.339000
   851    18.440318     4.355000
   852    12.292883     4.372000
   853    13.815356     4.389000
   854    15.279478     4.407000
   855    18.461457     4.424000
   856    10.333564     4.442000
   857    22.117161     4.460000
   858     9.520524     4.479000
   859    13.196573     4.497000
   860    18.159610     4.516000
   861     9.011793     4.536000
   862    12.634646     4.555000
   863     9.401752     4.575000
   864    16.966523     4.595000
   865    14.295029     4.615000
   866     9.576454     4.636000
   867    19.140000     4.656000
   868    10.640144     4.677000
   869    12.860091     4.698000
   870    11.503166     4.720000
   871    17.844997     4.742000
   872    17.096947     4.763000
   873    20.536841     4.786000
   874    18.286851     4.808000
   875    19.193469     4.830000
   876    19.902483     4.853000
   877    20.708103     4.876000
   878    14.387826     4.899000
   879    24.177404     4.923000
   880    13.984028     4.946000
   881    14.955964     4.970000
   882    16.867612     4.994000
   883    18.492231     5.018000
   884    18.196989     5.043000
   885    18.546795     5.067000
   886    14.498420     5.092000
   887    21.309784     5.117000
   888    25.139029     5.142000
   889    19.318005     5.167000
   890    15.691472     5.193000
   891    16.748911     5.218000
   892    18.440381     5.244000
   893    14.093623     5.270000
   894    20.245294     5.296000
   895    13.607556     5.322000
   896    39.266053     5.348000
   897    12.030552     5.374000
   898    17.123971     5.401000
   899    23.997510     5.427000
   900    30.877009     5.454000
   901    21.522173     5.481000
   902    22.184409     5.508000
   903    16.532434     5.535000
   904    32.232704     5.562000
   905    30.687304     5.589000
   906    29.490238     5.616000
   907    19.044179     5.644000
   908    23.500260     5.671000
   909    25.396865     5.699000
   910    22.449045     5.726000
   911    32.844818     5.754000
   912    25.155000     5.781000
   913    28.248213     5.809000
   914    23.381519     5.837000
   915    36.955987     5.864000
   916    31.319260     5.892000
   917    18.927868     5.920000
   918    23.148020     5.947000
   919    31.849645     5.975000
   920    36.181252     6.003000
   921    39.359066     6.031000
   922    29.024439     6.059000
   923    23.772010     6.086000
   924    32.449719     6.114000
   925    31.124880     6.142000
   926    22.200272     6.170000
   927    36.999805     6.197000
   928    28.354920     6.225000
   929    33.941617     6.252000
   930    36.364557     6.280000
   931    39.156199     6.307000
